id,MS1,MS2,MS3,MS4,MS5,MS6,MS7,MS8,MS9,MS10,MS11,MS12,MS13,Gender,Age,Major,School,Year
2,2,2,2,3,2,3,3,3,2,1,6,6,5,Female,21,Psychology,CC,Senior
3,7,2,4,4,7,3,5,3,6,4,4,4,4,Female,20,Psychology,CC,Junior
4,2,5,2,4,5,3,6,6,6,6,5,6,7,Male,21,Psychology,GS,Junior
5,4,6,3,3,6,4,5,6,4,5,6,6,5,Female,24,Psychology ,GS,Junior
6,7,6,3,4,5,2,6,7,6,5,7,5,6,Female,20,Psych,CC,Junior
7,6,6,6,5,6,3,4,2,3,6,5,5,5,Male,21,Psychology & Financial Economics,GS,Sophmore
8,2,5,7,2,3,5,3,1,1,2,7,7,5,Female,20,Psychology ,CC,Junior
9,1,5,2,5,5,5,6,5,1,1,6,3,5,Female,21,Psych ,GS,Sophmore
10,1,3,3,2,3,4,2,1,5,1,5,2,5,Female,23,Psychology Certificate ,School of Professional Studies,Post-Bac
11,2,1,1,3,6,6,3,6,1,6,6,2,3,Female,22,biology,Barnard,Senior
12,4,4,4,5,4,3,4,3,4,4,4,4,5,Female,21,Neuroscience,GS,Junior
13,4,5,5,5,4,3,4,4,2,2,7,5,3,Female,19,psychology,CC,Sophmore
14,2,2,2,4,5,2,5,3,5,7,5,6,4,Female,20,Psychology,CC,Junior
15,3,5,2,4,5,5,3,5,6,2,4,4,5,Female,19,Psychology,CC,Sophmore
16,6,5,6,5,6,6,7,5,6,6,6,4,6,Male,21,English Literature and Language,School of Professional Studies,Junior
17,6,6,4,3,7,2,3,6,5,5,6,3,4,Male,26,Psychology,GS,Junior
18,5,6,3,3,3,5,5,6,3,2,6,3,7,Female,19,Psychology,CC,Sophmore
19,1,2,2,2,5,5,1,5,2,6,5,4,5,Female,28,Anthropology / Psychology,GS,Senior
20,2,3,2,4,6,4,1,2,3,4,5,5,5,Female,31,Graduate Foundations,School of Professional Studies,First-Year
21,1,1,3,4,2,3,3,5,4,1,7,6,7,Female,20,Psychology and Creative Writing,CC,Junior
22,1,3,3,2,3,4,5,6,5,6,3,2,3,Male,22,Neuroscience and Behavior,GS,Senior
23,1,3,5,3,5,1,1,4,2,1,7,4,5,Female,37,Philosophy,GS,Senior
24,2,6,5,2,2,2,2,6,2,2,2,2,7,Female,21,Psychology; Business Management,GS,Sophmore
25,2,5,4,2,3,5,5,2,5,2,6,6,6,Male,21,Psychology,CC,Junior
26,7,1,4,3,2,5,2,4,1,1,6,4,7,Male,57,Undecided,GS,Junior
27,2,2,3,3,2,3,7,5,6,2,6,2,6,Female,23,Psychology & Statistics,GS,Senior
28,5,1,1,6,7,1,2,1,1,7,6,6,6,Male,45,Psychology ,GS,Senior
29,6,4,5,2,7,7,1,2,4,7,5,5,6,Male,27,Psychology,GS,Senior
30,6,6,3,3,7,7,5,7,5,1,4,3,6,Male,19,Psychology and French,CC,Sophmore
31,4,4,3,6,6,5,3,3,2,3,5,4,4,Female,25,Psychology,GS,Senior
32,3,2,3,5,5,4,6,7,2,2,6,2,7,Male,20,Psychology and Creative Writing (Double Major),CC,Sophmore
33,7,1,2,5,5,6,3,6,1,5,6,4,3,Female,19,Psychology,GS,Junior
34,1,3,1,5,2,4,1,3,1,5,7,6,6,Female,23,Undecided,GS,Junior
35,1,5,2,2,2,5,4,2,4,2,6,6,6,Female,25,Psychology ,School of Professional Studies,Post-Bac
36,5,7,2,6,1,1,1,5,4,1,7,6,6,Female,21,Neuroscience ,CC,Junior
37,5,6,4,4,5,5,6,7,4,5,7,4,6,Female,20,Psychology,CC,Sophmore